state,year,county,tract,tested,BLL_geq_5,BLL_geq_10
MD,2005,Baltimore,240054112.02,25,1,0
MD,2005,Baltimore,240054113.02,26,1,0
MD,2005,Baltimore,240054113.03,65,2,0
MD,2005,Baltimore,240054113.04,99,5,0
MD,2005,Baltimore,240054113.06,67,0,0
MD,2005,Baltimore,240054113.07,44,1,0
MD,2005,Baltimore,240054114.04,49,0,0
MD,2005,Baltimore,240054114.06,35,0,0
MD,2005,Baltimore,240054114.07,138,6,0
MD,2005,Baltimore,240054114.08,53,2,0
MD,2005,Baltimore,240054114.09,71,0,0
MD,2005,Baltimore,240054114.10,64,2,0
MD,2005,Baltimore,240054201.00,51,2,0
MD,2005,Baltimore,240054202.00,31,1,0
MD,2005,Baltimore,240054203.01,48,3,1
MD,2005,Baltimore,240054203.02,54,2,0
MD,2005,Baltimore,240054203.03,40,1,0
MD,2005,Baltimore,240054204.01,164,17,3
MD,2005,Baltimore,240054204.02,38,2,0
MD,2005,Baltimore,240054205.00,65,2,0
MD,2005,Baltimore,240054206.00,90,5,1
MD,2005,Baltimore,240054207.01,54,5,1
MD,2005,Baltimore,240054207.02,27,0,0
MD,2005,Baltimore,240054208.00,58,6,1
MD,2005,Baltimore,240054209.00,103,7,1
MD,2005,Baltimore,240054210.00,47,8,2
MD,2005,Baltimore,240054211.01,59,8,1
MD,2005,Baltimore,240054211.02,49,2,0
MD,2005,Baltimore,240054212.00,34,2,0
MD,2005,Baltimore,240054213.00,82,12,1
MD,2005,Baltimore,240054301.01,131,10,2
MD,2005,Baltimore,240054301.02,36,0,0
MD,2005,Baltimore,240054302.00,58,5,0
MD,2005,Baltimore,240054303.00,198,16,3
MD,2005,Baltimore,240054304.00,58,3,0
MD,2005,Baltimore,240054306.00,28,6,0
MD,2005,Baltimore,240054307.00,63,3,0
MD,2005,Baltimore,240054308.00,56,8,0
MD,2005,Baltimore,240054309.00,90,6,0
MD,2005,Baltimore,240054401.00,69,4,0
MD,2005,Baltimore,240054402.00,38,5,0
MD,2005,Baltimore,240054403.00,34,0,0
MD,2005,Baltimore,240054404.00,94,9,0
MD,2005,Baltimore,240054405.00,44,1,0
MD,2005,Baltimore,240054406.00,41,0,0
MD,2005,Baltimore,240054407.01,152,12,0
MD,2005,Baltimore,240054407.02,93,2,0
MD,2005,Baltimore,240054408.00,23,1,0
MD,2005,Baltimore,240054409.00,74,3,0
MD,2005,Baltimore,240054410.00,111,11,1
MD,2005,Baltimore,240054411.01,28,4,0
MD,2005,Baltimore,240054411.02,77,5,1
MD,2005,Baltimore,240054501.00,67,4,0
MD,2005,Baltimore,240054502.00,41,1,0
MD,2005,Baltimore,240054503.00,48,0,0
MD,2005,Baltimore,240054504.00,23,4,0
MD,2005,Baltimore,240054505.01,58,3,0
MD,2005,Baltimore,240054505.03,209,7,2
MD,2005,Baltimore,240054505.04,148,8,0
MD,2005,Baltimore,240054506.00,70,1,1
MD,2005,Baltimore,240054507.00,12,0,0
MD,2005,Baltimore,240054508.00,72,2,0
MD,2005,Baltimore,240054509.00,61,0,0
MD,2005,Baltimore,240054510.00,21,2,0
MD,2005,Baltimore,240054511.00,51,2,1
MD,2005,Baltimore,240054512.00,48,2,1
MD,2005,Baltimore,240054513.00,57,7,0
MD,2005,Baltimore,240054514.00,177,15,0
MD,2005,Baltimore,240054515.00,70,4,1
MD,2005,Baltimore,240054516.00,21,0,0
MD,2005,Baltimore,240054517.01,29,2,0
MD,2005,Baltimore,240054517.02,27,1,0
MD,2005,Baltimore,240054518.01,92,1,0
MD,2005,Baltimore,240054518.02,32,2,1
MD,2005,Baltimore,240054518.03,90,6,0
MD,2005,Baltimore,240054519.00,37,3,1
MD,2005,Baltimore,240054520.00,30,1,0
MD,2005,Baltimore,240054521.00,54,3,0
MD,2005,Baltimore,240054523.00,64,5,0
MD,2005,Baltimore,240054524.00,85,6,1
MD,2005,Baltimore,240054525.00,60,2,0
MD,2005,Baltimore,240054901.00,48,2,2
MD,2005,Baltimore,240054902.00,55,0,0
MD,2005,Baltimore,240054903.01,25,2,0
MD,2005,Baltimore,240054903.02,33,3,2
MD,2005,Baltimore,240054904.00,30,3,1
MD,2005,Baltimore,240054905.00,58,1,0
MD,2005,Baltimore,240054906.01,72,0,0
MD,2005,Baltimore,240054906.02,94,3,1
MD,2005,Baltimore,240054906.03,58,2,0
MD,2005,Baltimore,240054906.05,13,3,1
MD,2005,Baltimore,240054907.01,15,0,0
MD,2005,Baltimore,240054907.03,43,0,0
MD,2005,Baltimore,240054908.00,77,7,3
MD,2005,Baltimore,240054909.00,39,2,0
MD,2005,Baltimore,240054910.00,77,2,0
MD,2005,Baltimore,240054911.00,124,1,0
MD,2005,Baltimore,240054912.01,27,0,0
MD,2005,Baltimore,240054912.02,36,1,0
MD,2005,Baltimore,240054913.00,80,6,1
MD,2005,Baltimore,240054914.01,120,7,1
MD,2005,Baltimore,240054914.02,68,5,1
MD,2005,Baltimore,240054915.00,53,3,0
MD,2005,Baltimore,240054916.00,40,1,0
MD,2005,Baltimore,240054917.01,69,3,1
MD,2005,Baltimore,240054917.02,56,0,0
MD,2005,Baltimore,240054919.00,21,1,0
MD,2005,Baltimore,240054920.01,21,0,0
MD,2005,Baltimore,240054920.02,56,6,1
MD,2005,Baltimore,240054921.01,56,6,2
MD,2005,Baltimore,240054921.02,34,5,1
MD,2005,Baltimore,240054922.00,59,2,0
MD,2005,Baltimore City,NA,1204,222,42
MD,2005,Baltimore City,245100101.00,43,4,0
MD,2005,Baltimore City,245100102.00,60,17,4
MD,2005,Baltimore City,245100103.00,33,3,0
MD,2005,Baltimore City,245100104.00,30,3,1
MD,2005,Baltimore City,245100105.00,34,7,2
MD,2005,Baltimore City,245100201.00,44,7,1
MD,2005,Baltimore City,245100202.00,64,21,5
MD,2005,Baltimore City,245100203.00,30,4,0
MD,2005,Baltimore City,245100301.00,104,19,4
MD,2005,Baltimore City,245100302.00,27,3,1
MD,2005,Baltimore City,245100401.00,41,7,0
MD,2005,Baltimore City,245100402.00,8,0,0
MD,2005,Baltimore City,245100501.00,71,8,0
MD,2005,Baltimore City,245100601.00,146,54,19
MD,2005,Baltimore City,245100602.00,152,74,17
MD,2005,Baltimore City,245100603.00,58,23,5
MD,2005,Baltimore City,245100604.00,41,11,2
MD,2005,Baltimore City,245100605.00,23,5,0
MD,2005,Baltimore City,245100701.00,113,56,13
MD,2005,Baltimore City,245100702.00,168,99,28
MD,2005,Baltimore City,245100703.00,71,40,15
MD,2005,Baltimore City,245100704.00,76,26,11
MD,2005,Baltimore City,245100801.01,123,31,9
MD,2005,Baltimore City,245100801.02,83,35,2
MD,2005,Baltimore City,245100802.00,73,38,16
MD,2005,Baltimore City,245100803.01,76,48,11
MD,2005,Baltimore City,245100803.02,78,12,3
MD,2005,Baltimore City,245100804.00,63,34,11
MD,2005,Baltimore City,245100805.00,64,30,5
MD,2005,Baltimore City,245100806.00,111,60,19
MD,2005,Baltimore City,245100807.00,56,33,10
MD,2005,Baltimore City,245100808.00,78,28,5
MD,2005,Baltimore City,245100901.00,104,25,4
MD,2005,Baltimore City,245100902.00,63,9,2
MD,2005,Baltimore City,245100903.00,105,26,5
MD,2005,Baltimore City,245100904.00,55,24,4
MD,2005,Baltimore City,245100905.00,69,26,6
MD,2005,Baltimore City,245100906.00,114,43,11
MD,2005,Baltimore City,245100907.00,114,32,6
MD,2005,Baltimore City,245100908.00,134,74,24
MD,2005,Baltimore City,245100909.00,105,30,5
MD,2005,Baltimore City,245101001.00,54,16,6
MD,2005,Baltimore City,245101002.00,100,16,2
MD,2005,Baltimore City,245101004.00,8,4,2
MD,2005,Baltimore City,245101101.00,25,3,0
MD,2005,Baltimore City,245101102.00,33,10,2
MD,2005,Baltimore City,245101201.00,41,8,1
MD,2005,Baltimore City,245101202.00,53,11,2
MD,2005,Baltimore City,245101203.00,74,27,6
MD,2005,Baltimore City,245101204.00,60,19,2
MD,2005,Baltimore City,245101205.00,32,8,1
MD,2005,Baltimore City,245101206.00,28,10,4
MD,2005,Baltimore City,245101207.00,132,56,7
MD,2005,Baltimore City,245101301.00,63,18,3
MD,2005,Baltimore City,245101302.00,112,26,5
MD,2005,Baltimore City,245101303.00,84,34,9
MD,2005,Baltimore City,245101304.00,63,26,5
MD,2005,Baltimore City,245101306.00,60,14,0
MD,2005,Baltimore City,245101307.00,80,9,1
MD,2005,Baltimore City,245101308.03,51,1,0
MD,2005,Baltimore City,245101308.04,44,10,1
MD,2005,Baltimore City,245101308.05,14,1,0
MD,2005,Baltimore City,245101308.06,19,4,0
MD,2005,Baltimore City,245101401.00,66,7,0
MD,2005,Baltimore City,245101402.00,178,41,8
MD,2005,Baltimore City,245101403.00,85,28,12
MD,2005,Baltimore City,245101501.00,150,34,5
MD,2005,Baltimore City,245101502.00,114,42,10
MD,2005,Baltimore City,245101503.00,100,34,7
MD,2005,Baltimore City,245101504.00,103,53,15
MD,2005,Baltimore City,245101505.00,26,10,1
MD,2005,Baltimore City,245101506.00,123,54,10
MD,2005,Baltimore City,245101507.01,46,13,5
MD,2005,Baltimore City,245101507.02,64,12,1
MD,2005,Baltimore City,245101508.00,154,51,11
MD,2005,Baltimore City,245101509.00,108,40,11
MD,2005,Baltimore City,245101510.00,134,21,6
MD,2005,Baltimore City,245101511.00,145,21,2
MD,2005,Baltimore City,245101512.00,130,35,7
MD,2005,Baltimore City,245101513.00,195,38,7
MD,2005,Baltimore City,245101601.00,109,41,12
MD,2005,Baltimore City,245101602.00,88,24,3
MD,2005,Baltimore City,245101603.00,55,11,2
MD,2005,Baltimore City,245101604.00,144,73,19
MD,2005,Baltimore City,245101605.00,148,40,3
MD,2005,Baltimore City,245101606.00,112,45,6
MD,2005,Baltimore City,245101607.00,214,63,19
MD,2005,Baltimore City,245101608.01,108,28,6
MD,2005,Baltimore City,245101608.02,73,12,5
MD,2005,Baltimore City,245101701.00,49,4,0
MD,2005,Baltimore City,245101702.00,103,20,4
MD,2005,Baltimore City,245101703.00,89,17,2
MD,2005,Baltimore City,245101801.00,100,13,0
MD,2005,Baltimore City,245101802.00,38,13,4
MD,2005,Baltimore City,245101803.00,51,20,3
MD,2005,Baltimore City,245101901.00,85,20,2
MD,2005,Baltimore City,245101902.00,50,19,4
MD,2005,Baltimore City,245101903.00,103,43,12
MD,2005,Baltimore City,245102001.00,73,42,18
MD,2005,Baltimore City,245102002.00,109,58,14
MD,2005,Baltimore City,245102003.00,85,44,8
MD,2005,Baltimore City,245102004.00,86,40,8
MD,2005,Baltimore City,245102005.00,130,67,14
MD,2005,Baltimore City,245102006.00,91,19,3
MD,2005,Baltimore City,245102007.01,124,34,5
MD,2005,Baltimore City,245102007.02,33,11,5
MD,2005,Baltimore City,245102008.00,69,26,5
MD,2005,Baltimore City,245102101.00,53,16,3
MD,2005,Baltimore City,245102102.00,114,45,7
MD,2005,Baltimore City,245102201.00,52,4,0
MD,2005,Baltimore City,245102301.00,53,9,1
MD,2005,Baltimore City,245102302.00,21,2,1
MD,2005,Baltimore City,245102303.00,26,7,0
MD,2005,Baltimore City,245102401.00,28,2,0
MD,2005,Baltimore City,245102402.00,30,2,1
MD,2005,Baltimore City,245102403.00,57,5,1
MD,2005,Baltimore City,245102404.00,43,7,1
MD,2005,Baltimore City,245102501.01,102,8,0
MD,2005,Baltimore City,245102501.02,73,8,0
MD,2005,Baltimore City,245102501.03,67,8,0
MD,2005,Baltimore City,245102502.03,77,5,0
MD,2005,Baltimore City,245102502.04,177,18,1
MD,2005,Baltimore City,245102502.05,157,23,4
MD,2005,Baltimore City,245102502.06,41,4,1
MD,2005,Baltimore City,245102502.07,97,12,1
MD,2005,Baltimore City,245102503.01,34,16,3
MD,2005,Baltimore City,245102503.02,60,10,1
MD,2005,Baltimore City,245102503.03,52,13,1
MD,2005,Baltimore City,245102504.01,66,8,4
MD,2005,Baltimore City,245102504.02,117,15,2
MD,2005,Baltimore City,245102505.00,105,16,2
MD,2005,Baltimore City,245102506.00,2,2,0
MD,2005,Baltimore City,245102601.01,109,19,4
MD,2005,Baltimore City,245102601.02,130,16,3
MD,2005,Baltimore City,245102602.01,130,13,1
MD,2005,Baltimore City,245102602.02,171,25,5
MD,2005,Baltimore City,245102602.03,108,21,0
MD,2005,Baltimore City,245102603.01,158,46,9
MD,2005,Baltimore City,245102603.02,147,20,2
MD,2005,Baltimore City,245102603.03,4,1,0
MD,2005,Baltimore City,245102604.01,67,4,2
MD,2005,Baltimore City,245102604.02,137,30,3
MD,2005,Baltimore City,245102604.03,43,4,0
MD,2005,Baltimore City,245102604.04,81,21,5
MD,2005,Baltimore City,245102605.01,122,15,3
MD,2005,Baltimore City,245102606.04,89,16,0
MD,2005,Baltimore City,245102606.05,120,9,2
MD,2005,Baltimore City,245102607.00,68,17,4
MD,2005,Baltimore City,245102608.00,77,17,1
MD,2005,Baltimore City,245102609.00,48,6,1
MD,2005,Baltimore City,245102610.00,119,45,4
MD,2005,Baltimore City,245102611.00,27,5,1
MD,2005,Baltimore City,245102701.01,41,7,0
MD,2005,Baltimore City,245102701.02,96,17,1
MD,2005,Baltimore City,245102702.00,32,4,0
MD,2005,Baltimore City,245102703.01,55,10,1
MD,2005,Baltimore City,245102703.02,33,6,0
MD,2005,Baltimore City,245102704.01,114,15,0
MD,2005,Baltimore City,245102704.02,80,10,0
MD,2005,Baltimore City,245102705.01,70,3,2
MD,2005,Baltimore City,245102705.02,73,5,0
MD,2005,Baltimore City,245102706.00,91,12,2
MD,2005,Baltimore City,245102707.01,74,6,2
MD,2005,Baltimore City,245102707.02,73,4,0
MD,2005,Baltimore City,245102707.03,52,6,2
MD,2005,Baltimore City,245102708.01,110,3,0
MD,2005,Baltimore City,245102708.02,156,25,2
MD,2005,Baltimore City,245102708.03,139,10,1
MD,2005,Baltimore City,245102708.04,72,6,1
MD,2005,Baltimore City,245102708.05,107,18,3
MD,2005,Baltimore City,245102709.01,110,15,2
MD,2005,Baltimore City,245102709.02,83,9,1
MD,2005,Baltimore City,245102709.03,73,9,1
MD,2005,Baltimore City,245102710.01,61,14,2
MD,2005,Baltimore City,245102710.02,110,20,3
MD,2005,Baltimore City,245102711.01,38,6,0
MD,2005,Baltimore City,245102711.02,34,4,0
MD,2005,Baltimore City,245102712.00,203,17,1
MD,2005,Baltimore City,245102713.00,46,2,0
MD,2005,Baltimore City,245102714.00,78,9,1
MD,2005,Baltimore City,245102715.01,124,7,0
MD,2005,Baltimore City,245102715.03,7,0,0
MD,2005,Baltimore City,245102716.00,171,46,4
MD,2005,Baltimore City,245102717.00,148,36,8
MD,2005,Baltimore City,245102718.01,89,25,3
MD,2005,Baltimore City,245102718.02,124,46,10
MD,2005,Baltimore City,245102719.00,72,8,2
MD,2005,Baltimore City,245102720.01,181,14,1
MD,2005,Baltimore City,245102720.02,178,8,1
MD,2005,Baltimore City,245102720.03,142,7,1
MD,2005,Baltimore City,245102801.01,69,6,2
MD,2005,Baltimore City,245102801.02,123,26,2
MD,2005,Baltimore City,245102802.00,93,30,9
MD,2005,Baltimore City,245102803.01,101,14,3
MD,2005,Baltimore City,245102803.02,66,12,0
MD,2005,Baltimore City,245102804.01,79,11,1
MD,2005,Baltimore City,245102804.02,34,10,1
MD,2005,Baltimore City,245102804.03,126,15,2
MD,2005,Baltimore City,245102804.04,74,9,0
MD,2005,Calvert,NA,92,3,0
MD,2005,Calvert,240098601.01,23,1,1
MD,2005,Calvert,240098601.02,18,0,0
MD,2005,Calvert,240098602.00,36,0,0
MD,2005,Calvert,240098603.00,29,0,0
MD,2005,Calvert,240098604.01,94,7,2
MD,2005,Calvert,240098604.02,26,1,1
MD,2005,Calvert,240098605.01,35,0,0
MD,2005,Calvert,240098605.02,14,1,0
MD,2005,Calvert,240098606.00,38,0,0
MD,2005,Calvert,240098607.01,15,0,0
MD,2005,Calvert,240098607.02,36,1,0
MD,2005,Calvert,240098607.03,21,2,0
MD,2005,Calvert,240098608.01,51,3,1
MD,2005,Calvert,240098608.02,27,0,0
MD,2005,Calvert,240098609.00,52,1,0
MD,2005,Calvert,240098610.01,7,0,0
MD,2005,Calvert,240098610.02,139,10,2
MD,2005,Caroline,NA,95,10,1
MD,2005,Caroline,240119550.00,119,16,0
